saps,fecha,servicio,turno,consulta_cantidad,rango_etario,sexo,detalle
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,7.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,6.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,4.0,20 - 39 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,1.0,40 - 69 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,1.0,40 - 69 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,MANANA,9.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,MANANA,1.0,20 - 39 AÑOS,M,URGENCIA
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,MANANA,9.0,20 - 39 AÑOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,6.0,1 - 4 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,11.0,1 - 4 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,37.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,25.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,7.0,15 - 19 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,11.0,15 - 19 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,16.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,13.0,20 - 39 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,6.0,40 - 69 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,2.0,40 - 69 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,13.0,5 - 14 AÑOS,F,URGENCIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,8.0,5 - 14 AÑOS,M,URGENCIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,8.0,15 - 19 AÑOS,F,URGENCIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,5.0,15 - 19 AÑOS,M,URGENCIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,37.0,20 - 39 AÑOS,F,URGENCIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,38.0,20 - 39 AÑOS,M,URGENCIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,9.0,40 - 69 AÑOS,F,URGENCIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,3.0,40 - 69 AÑOS,M,URGENCIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,2.0,5 - 14 AÑOS,M,EXTRACCION DENTARIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,3.0,15 - 19 AÑOS,F,EXTRACCION DENTARIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,6.0,15 - 19 AÑOS,M,EXTRACCION DENTARIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,16.0,20 - 39 AÑOS,F,EXTRACCION DENTARIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,10.0,20 - 39 AÑOS,M,EXTRACCION DENTARIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,3.0,40 - 69 AÑOS,F,EXTRACCION DENTARIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,TARDE,2.0,40 - 69 AÑOS,M,EXTRACCION DENTARIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,3.0,15 - 19 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,3.0,15 - 19 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,6.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,5.0,20 - 39 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,6.0,40 - 69 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,1.0,5 - 14 AÑOS,F,URGENCIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,2.0,20 - 39 AÑOS,M,URGENCIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,1.0,1 - 4 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,1.0,1 - 4 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,8.0,5 - 14 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,12.0,5 - 14 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,6.0,15 - 19 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,8.0,20 - 39 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,8.0,20 - 39 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,1.0,< 1 AÑO,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,1.0,< 1 AÑO,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,11.0,1 - 4 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,17.0,1 - 4 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,26.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,33.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,16.0,5 - 14 AÑOS,F,EXTRACCION DENTARIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,6.0,5 - 14 AÑOS,M,EXTRACCION DENTARIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,F,EXTRACCION DENTARIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,1.0,15 - 19 AÑOS,M,EXTRACCION DENTARIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,2.0,20 - 39 AÑOS,F,EXTRACCION DENTARIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,2.0,20 - 39 AÑOS,M,EXTRACCION DENTARIA
DR. SEMPER,2020-10-01,ODONTOLOGIA,MANANA,1.0,40 - 69 AÑOS,F,EXTRACCION DENTARIA
SAN MARCOS,2020-10-01,ODONTOLOGIA,MANANA,1.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
SAN MARCOS,2020-10-01,ODONTOLOGIA,MANANA,1.0,20 - 39 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
SAN MARCOS,2020-10-01,ODONTOLOGIA,MANANA,1.0,< 1 AÑO,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
SAN MARCOS,2020-10-01,ODONTOLOGIA,MANANA,2.0,1 - 4 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
SAN MARCOS,2020-10-01,ODONTOLOGIA,MANANA,6.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
SAN MARCOS,2020-10-01,ODONTOLOGIA,MANANA,4.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
SAN MARCOS,2020-10-01,ODONTOLOGIA,MANANA,1.0,40 - 69 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,5.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,4.0,20 - 39 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,3.0,40 - 69 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,1.0,< 1 AÑO,F,URGENCIA
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,1.0,5 - 14 AÑOS,F,URGENCIA
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,2.0,5 - 14 AÑOS,M,URGENCIA
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,3.0,20 - 39 AÑOS,F,URGENCIA
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,2.0,20 - 39 AÑOS,M,URGENCIA
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,3.0,40 - 69 AÑOS,F,URGENCIA
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,1.0,20 - 39 AÑOS,F,DERIVACION
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,1.0,20 - 39 AÑOS,M,DERIVACION
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,1.0,40 - 69 AÑOS,F,DERIVACION
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,1.0,5 - 14 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,1.0,5 - 14 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,1.0,20 - 39 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,1.0,20 - 39 AÑOS,M,TARTREC Y CEPILLADO MECAniCO
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,2.0,5 - 14 AÑOS,F,APLICACION DE FLUOR
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,3.0,5 - 14 AÑOS,M,APLICACION DE FLUOR
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,3.0,5 - 14 AÑOS,F,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,4.0,5 - 14 AÑOS,M,"DETENCION, CONTROL PLACA BACTERIANA Y ENS"
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,3.0,5 - 14 AÑOS,F,TALLER DE PROMOCION Y PREVENCION
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,6.0,5 - 14 AÑOS,M,TALLER DE PROMOCION Y PREVENCION
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,1.0,< 1 AÑO,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,1.0,1 - 4 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,3.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,13.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ALBERTO LIFSCHITZ,2020-10-01,ODONTOLOGIA,TARDE,2.0,5 - 14 AÑOS,M,EXTRACCION DENTARIA
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,4.0,15 - 19 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,6.0,15 - 19 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,2.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,4.0,20 - 39 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,5.0,40 - 69 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,2.0,40 - 69 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,2.0,>= 70 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,3.0,5 - 14 AÑOS,F,URGENCIA
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,4.0,15 - 19 AÑOS,F,URGENCIA
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,5.0,15 - 19 AÑOS,M,URGENCIA
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,5.0,20 - 39 AÑOS,F,URGENCIA
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,3.0,15 - 19 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,4.0,15 - 19 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,6.0,20 - 39 AÑOS,F,FOTOCURADO ANTERIORES Y PosTERIORES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,2.0,20 - 39 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,3.0,40 - 69 AÑOS,M,FOTOCURADO ANTERIORES Y PosTERIORES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,3.0,5 - 14 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,6.0,5 - 14 AÑOS,M,TARTREC Y CEPILLADO MECAniCO
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,7.0,15 - 19 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,6.0,15 - 19 AÑOS,M,TARTREC Y CEPILLADO MECAniCO
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,4.0,20 - 39 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,7.0,40 - 69 AÑOS,M,TARTREC Y CEPILLADO MECAniCO
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,2.0,>= 70 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,1.0,>= 70 AÑOS,M,TARTREC Y CEPILLADO MECAniCO
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,4.0,1 - 4 AÑOS,F,INACTIVACION DE CARIES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,6.0,1 - 4 AÑOS,M,INACTIVACION DE CARIES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,5.0,5 - 14 AÑOS,F,INACTIVACION DE CARIES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,7.0,5 - 14 AÑOS,M,INACTIVACION DE CARIES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,2.0,15 - 19 AÑOS,F,INACTIVACION DE CARIES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,5.0,15 - 19 AÑOS,M,INACTIVACION DE CARIES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,1.0,20 - 39 AÑOS,F,INACTIVACION DE CARIES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,3.0,20 - 39 AÑOS,M,INACTIVACION DE CARIES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,3.0,40 - 69 AÑOS,M,INACTIVACION DE CARIES
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,4.0,1 - 4 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,6.0,1 - 4 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,2.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,3.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,7.0,15 - 19 AÑOS,F,EXTRACCION DENTARIA
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,5.0,15 - 19 AÑOS,M,EXTRACCION DENTARIA
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,6.0,20 - 39 AÑOS,M,EXTRACCION DENTARIA
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,4.0,40 - 69 AÑOS,M,EXTRACCION DENTARIA
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,4.0,>= 70 AÑOS,F,EXTRACCION DENTARIA
QUINTA FERRE,2020-10-01,ODONTOLOGIA,TARDE,5.0,>= 70 AÑOS,M,EXTRACCION DENTARIA
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,3.0,15 - 19 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,1.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,1.0,5 - 14 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,1.0,15 - 19 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,1.0,15 - 19 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,7.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,1.0,20 - 39 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,2.0,40 - 69 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,2.0,20 - 39 AÑOS,F,TARTREC Y CEPILLADO MECAniCO
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,11.0,5 - 14 AÑOS,F,INACTIVACION DE CARIES
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,6.0,5 - 14 AÑOS,M,INACTIVACION DE CARIES
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,2.0,15 - 19 AÑOS,F,INACTIVACION DE CARIES
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,1.0,15 - 19 AÑOS,M,INACTIVACION DE CARIES
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,1.0,20 - 39 AÑOS,M,INACTIVACION DE CARIES
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,1.0,1 - 4 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,3.0,1 - 4 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,4.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,6.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,2.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,2.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,4.0,15 - 19 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,1.0,15 - 19 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,8.0,20 - 39 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,8.0,20 - 39 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,5.0,40 - 69 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. ROSSI CANDIA,2020-10-01,ODONTOLOGIA,TARDE,3.0,40 - 69 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,2.0,5 - 14 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,2.0,15 - 19 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1.0,15 - 19 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,6.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,4.0,20 - 39 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1.0,40 - 69 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,3.0,40 - 69 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,1.0,1 - 4 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,2.0,5 - 14 AÑOS,F,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. PEDRO BLUGERMAN,2020-10-01,ODONTOLOGIA,MANANA/TARDE,4.0,5 - 14 AÑOS,M,CONSULTAS FICHADAS Y MOTIVACION (ninios hasta 14 anios)
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,2.0,15 - 19 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,5.0,20 - 39 AÑOS,F,CONSULTA-ADULTO (Desde 15 anios)
DR. FLIER,2020-10-01,ODONTOLOGIA,TARDE,5.0,20 - 39 AÑOS,M,CONSULTA-ADULTO (Desde 15 anios)
